title,address,city,state,zipcode,phone,type
GINGERMAN,2718  BOLL,DALLAS,TX,75016,2147548771,Draft
CASEY'S,304 DEPOT STREET,ANN ARBOR,MI,48104,7346656775,Draft
FERRANTE'S MEQUON,10404 PORT WASHINGTON RD,MEQUON,WI,53092 553,2622415534,Draft
JAKES CIGARS,101 N 14TH STREET #1,LINCOLN,NE,68508,4024358117,Draft
TAP ROOM,201 W. MICHIGAN AVE.,YPSILANTI,MI,48197,7344825320,Draft
BUFFALO WILD WINGS OF CHGO RIDGE,111 CHICAGO RIDGE MALL DRIVE SUITE,CHICAGO RIDGE,IL,60415,7084249464,Draft
RIVOLI THEATRE,117 N 4TH ST,LA CROSSE,WI,54601,6083869508,Draft
THE INDEPENDENT-11250,5016 N FLORIDA AVE,TAMPA,FL,33603,7274807461,Draft
TOWN PUMP,100 MONTCALM W.,DETROIT,MI,48201,3139611929,Draft
FIRESIDE GRILL,1121 DIXIE HWY,BEECHER,IL,60401,17082316215,Draft
ERV'S MUG,130 W RYAN RD,OAK CREEK,WI,53154,4147625010,Draft
B & B BEVERAGES,3670 SAWMILL ROAD,DOYLESTOWN,PA,18901,2153483318,Draft
GLENDALE LIQUOR 3,4040 QUAKERBRIDGE RD.,MERCERVILLE,NJ,08619,6095870333,Draft
GOOD TA GO,1640 ORCHARD DRIVE UNIT 1,CHAMBERSBURG,PA,17201,4460138,Draft
BLACK HORSE TAVERN-NEWTOWN,101 SOUTH STATE STREET,NEWTOWN,PA,18940,2155796152,Draft
JACK ASHES,4334 S STAPLES,CORPUS CHRISTI,TX,78412,906226361,Draft
PLAYERS PARK SOUTH,9251 ANTIOCH ROAD,SALEM,WI,53168,2628434355,Draft
BOTTLE MILWAUKEE  THE,1753 S KINNICKINNIC AVE,MILWAUKEE,WI,53204,4143895337,Draft
TEDDY'S LIQUOR   (7/14),11 E NW HWY,CRYSTAL LAKE,IL,60014,8154551010,Draft
TECCA,38 E. GAY STREET,WEST CHESTER,PA,19380,6107388244,Draft
COPPER TOP PUB-08583,5112 E FOWLER AVE,TAMPA,FL,33617,8139888656,Draft
BINNY'S BEV DEPOT ELMWOOD,7330 W NORTH AVENUE,ELMWOOD PARK,IL,60707,7084562112,Draft
ONEIDA GOLF & COUNTRY CL,207 COUNTRY CLUB RD,GREEN BAY,WI,54313,9204986500,Draft
BIERSTUBE-HASTINGS,109 11TH ST,HASTINGS,MN,55033,6514378259,Draft
LOST KANGAROO-12382,406 12TH ST W,BRADENTON,FL,34205,9415186111,Draft
LITTLE PUB,59 ETHAN ALLEN HWY,RIDGEFIELD,CT,068770000,2035449222,Draft
BUFFALO W.W. GRILL & BAR,7111 S KINGERY HWY.,WILLOWBROOK,IL,60527,6304556051,Draft
BULL N BEAR,4017 80TH STREET,KENOSHA,WI,53142,2626949494,Draft
SHAWSHEEN VILLAGE LIQUORS,4 POOR ST,ANDOVER,MA,01810,19784753636,Draft
CITY WIDE LIQUORS - JEFFERSON,109 E JEFFERSON,SOUTH BEND,IN,46601,5742878652,Draft
JAYS ELBOW ROOM,2806 RT73 N,MAPLE SHADE,NJ,08052,8562353687,Draft
MURPHY'S LAW,107-09 N MAIN STREET,BRYAN,TX,77803,9795756589,Draft
SHOP-RITE #751 CHESTER,120 RT 206 SOUTH,CHESTER,NJ,079300000,9088795352,Draft
SAUCED LLC,S78 W16355 WOODS ROAD,MUSKEGO,WI,53150,4144220700,Draft
KLEMME'S WAGON WHEEL,120 SOUTH WISCONSIN DRIVE,HOWARDS GROVE,WI,53083,9205652325,Draft
KENWOOD LIQUORS,12037 W. 159TH ST,HOMER GLEN,IL,60491,7085908210,Draft
ROSIE OHARES PUBLIC HOUSE,702 WATER STREET,EAST DUNDEE,IL,60118,8474261116,Draft
DUNAGAIN'S IRISH PUB,90 S ORCHARD,PARK FOREST,IL,60466,7082976223,Draft
OLD CHICAGO PIZZA - MERRILLVILLE,740 E 81ST AVE,MERRILLVILLE,IN,46410,2194720614,Draft
HOP CAT EAST LANSING,300 GROVE ST.,EAST LANSING,MI,48823,5178164300,Draft
THE DASH INN - FW CALHOUN ST,814 S CALHOUN ST,FORT WAYNE,IN,46802,2604233595,Draft
KANE COUNTY ROOKIES,1545 W. MAIN STREET,ST. CHARLES,IL,60174,6305130681,Draft
WELLS BROTHERS RESTAURANT,2148 MEAD STREET,RACINE,WI,53403,2626324408,Draft
STATE SIDE,1536 EAST PASSYUNK AVE,PHILADELPHIA,PA,19147,2155512500,Draft
THE HEIGHTS BAR LLC,6436 MONTROSE,HARWOOD HEIGHTS,IL,60706,7087743467,Draft
THE BIRD,4125 SOUTH PUB PLACE,JACKSON,WY,83002,3077322473,Draft
JAKS TAP               P,901 W JACKSON,CHICAGO,IL,60607,3126661700,Draft
ROCK SPORTS COMPLEX   THE,7900 W CRYSTAL RIDGE DRIVE,FRANKLIN,WI,53132,4145297676,Draft
MORAN'S PUB,912 MILWAUKEE AVE,SOUTH MILWAUKEE,WI,53212,4145700888,Draft
SCHWARZ'S SUPPER CLUB,W1688 SHEBOYGAN ROAD,NEW HOLSTEIN,WI,53061,9208943598,Draft
MARK'S SPORTS PUB,4035 S CLEMENT AVE,MILWAUKEE,WI,53207,4144814993,Draft
CLADDAGH IRISH PUB,2900 TOWNE CENTER BLVD,LANSING,MI,48912,5174842523,Draft
PAT'S LIQUORS - PORTER,1 US HWY 20,PORTER,IN,46304,2199265460,Draft
OLD CHICAGO - GRAND PRAIR,7610 N GRAND PRAIRIE DRIV,PEORIA,IL,61615,3096911885,Draft
ZIPPS LIQUOR,2618 E FRANKLIN AVE,MINNEAPOLIS,MN,55406,6123338686,Draft
INDEPENDENT,75 UNION SQ,SOMERVILLE,MA,02143,6174406022,Draft
MISKA LIQUORS (63RD),6410 W 63RD ST,CHICAGO,IL,60638,7735863484,Draft
LUBY'S PUB,6657 SOUTH STREET,TINLEY PARK,IL,60477,7086338240,Draft
JIM DANDY'S INC,8900 S 27TH ST,OAK CREEK,WI,53154,4147617611,Draft
BLUEMOUND LIQUOR,6001 W BLUEMOUND RD,MILWAUKEE,WI,53213,4142583100,Draft
DOVER INN,1909 N BEAUMONT AVENUE,KANSASVILLE,WI,53139,2625342707,Draft
SWIG,1469 N MILWAUKEE,CHICAGO,IL,60622,7733841439,Draft
